City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,293.94,53,75,3.6,CA,1722886558
1,margate,51.3813,1.3862,292.42,74,1,4.62,GB,1722886559
2,ushuaia,-54.8,-68.3,272.96,64,20,0.0,AR,1722886432
3,karwar,14.8,74.1333,299.13,86,64,2.81,IN,1722886562
4,bethel,41.3712,-73.414,305.4,57,0,3.6,US,1722886563
5,port-aux-francais,-49.35,70.2167,274.21,77,56,6.72,TF,1722886564
6,adamstown,-25.066,-130.1015,292.58,65,59,4.59,PN,1722886565
7,qaqortoq,60.7167,-46.0333,282.3,71,100,1.81,GL,1722886566
8,butembo,0.15,29.2833,287.22,96,9,1.04,CD,1722886567
9,blackmans bay,-43.0167,147.3167,283.56,74,100,1.34,AU,1722886568
10,iskateley,67.6803,53.1512,279.09,85,5,5.14,RU,1722886569
11,vorgashor,67.5833,63.95,278.86,73,6,2.81,RU,1722886571
12,puerto deseado,-47.7503,-65.8938,277.66,76,100,6.83,AR,1722886548
13,ribeira grande,38.5167,-28.7,299.37,83,20,5.14,PT,1722886574
14,maxixe,-23.8597,35.3472,295.05,73,75,4.63,MZ,1722886575
15,papatowai,-46.5619,169.4708,278.44,81,34,3.62,NZ,1722886576
16,vytegra,61.0064,36.4481,287.84,92,100,2.3,RU,1722886577
17,firmat,-33.4594,-61.4832,289.21,71,100,3.41,AR,1722886578
18,pocone,-16.2567,-56.6228,309.66,15,0,3.63,BR,1722886580
19,cadale,2.7603,46.3222,297.81,80,7,9.71,SO,1722886581
20,bredasdorp,-34.5322,20.0403,281.49,83,0,3.48,ZA,1722886582
21,inhambane,-23.865,35.3833,295.14,73,75,4.63,MZ,1722886583
22,invercargill,-46.4,168.35,277.05,92,84,1.79,NZ,1722886584
23,albany,42.6001,-73.9662,303.68,61,98,0.45,US,1722886382
24,elverum,60.8819,11.5623,291.06,83,100,1.94,NO,1722886586
25,port elizabeth,-33.918,25.5701,286.31,61,0,3.6,ZA,1722886587
26,north ward,-19.2454,146.8075,289.1,88,40,3.09,AU,1722886588
27,kinwat,19.6333,78.2,298.54,88,100,3.19,IN,1722886590
28,saipan,15.1355,145.701,300.54,89,0,2.06,MP,1722886591
29,jinghong,21.991,100.7341,294.06,99,100,0.77,CN,1722886592
30,olonkinbyen,70.9221,-8.7187,279.54,96,100,2.62,SJ,1722886593
31,isafjordur,66.0755,-23.124,284.17,82,75,7.2,IS,1722886594
32,thinadhoo,0.5333,72.9333,301.73,68,100,1.28,MV,1722886595
33,punta arenas,-53.15,-70.9167,274.21,80,20,3.6,CL,1722886596
34,longyearbyen,78.2186,15.6401,283.06,81,20,6.17,SJ,1722886598
35,chonchi,-42.6128,-73.8092,281.71,97,100,1.75,CL,1722886135
36,broken hill,-31.95,141.4333,278.1,91,0,2.34,AU,1722886600
37,talnakh,69.4865,88.3972,281.0,71,10,1.19,RU,1722886601
38,waitangi,-43.9535,-176.5597,282.49,94,84,0.45,NZ,1722886602
39,khorixas,-20.3667,14.9667,291.57,22,0,1.34,NA,1722886603
40,novodvinsk,64.4165,40.8122,286.01,64,100,3.23,RU,1722886071
41,nagqu,31.5,92.0,277.42,79,5,1.08,CN,1722886605
42,haiku-pauwela,20.9219,-156.3051,301.05,68,20,7.2,US,1722886606
43,colac,-38.3333,143.5833,280.28,96,59,2.56,AU,1722886439
44,abaza,52.655,90.0928,285.79,96,72,2.25,RU,1722886609
45,north bend,43.4065,-124.2243,295.36,72,0,7.72,US,1722886610
46,nar'yan-mar,67.6713,53.087,279.12,85,5,5.2,RU,1722886612
47,agua branca,-5.8922,-42.6361,307.35,22,3,2.52,BR,1722886613
48,tommot,58.9564,126.2925,286.78,97,100,2.91,RU,1722886614
49,tabou,4.423,-7.3528,297.17,86,100,4.27,CI,1722886615
50,al ghayzah,16.2079,52.176,297.91,90,60,3.66,YE,1722886616
51,bandiagara,14.3501,-3.6104,302.12,62,42,3.99,ML,1722886618
52,znamenskoye,57.1281,73.8282,287.77,96,87,1.62,RU,1722886619
53,pemangkat,1.1667,108.9667,299.27,83,99,3.02,ID,1722886620
54,shitanjing,39.2342,106.3439,295.76,53,100,3.67,CN,1722886621
55,tadine,-21.55,167.8833,291.04,70,4,4.68,NC,1722886622
56,san justo,-30.7891,-60.5919,290.9,85,100,2.24,AR,1722886415
57,wailua homesteads,22.0669,-159.378,299.68,73,20,6.17,US,1722886624
58,belmonte,-15.8631,-38.8828,296.55,69,27,2.8,BR,1722886625
59,bolivar,37.6145,-93.4105,308.48,45,17,3.74,US,1722886384
60,vilyuchinsk,52.9306,158.4028,285.3,79,100,0.39,RU,1722886628
61,hermanus,-34.4187,19.2345,284.35,78,6,5.54,ZA,1722886629
62,rovaniemi,66.5,25.7167,291.82,55,0,1.03,FI,1722886630
63,tiksi,71.6872,128.8694,284.41,77,100,1.55,RU,1722886631
64,lihue,21.9789,-159.3672,300.02,71,20,6.17,US,1722886632
65,dakhla,23.6848,-15.958,295.16,88,100,10.29,EH,1722886633
66,opuwo,-18.0607,13.84,292.53,24,0,1.35,NA,1722886634
67,vila franca do campo,37.7167,-25.4333,298.38,77,12,3.33,PT,1722886635
68,livingstone,-17.8419,25.8543,292.57,16,0,1.44,ZM,1722886637
69,atafu village,-8.5421,-172.5159,300.91,77,42,2.57,TK,1722886638
70,sos'va,59.1766,61.8558,288.16,95,100,0.75,RU,1722886639
71,manicore,-5.8092,-61.3003,310.98,18,77,2.02,BR,1722886640
72,puerto natales,-51.7236,-72.4875,274.4,80,40,2.57,CL,1722886641
73,usogorsk,63.4106,48.6872,286.86,94,99,1.81,RU,1722886642
74,las tablas,7.7667,-80.2833,299.91,99,82,1.52,PA,1722886643
75,moa,20.6569,-74.9403,303.14,77,99,5.19,CU,1722886644
76,georgetown,5.4112,100.3354,302.11,79,20,0.0,MY,1722886413
77,carnarvon,-24.8667,113.6333,289.93,60,0,2.51,AU,1722886647
78,ilulissat,69.2167,-51.1,282.16,76,20,2.06,GL,1722886648
79,wenling,28.3669,121.36,299.36,87,0,0.98,CN,1722886649
80,grytviken,-54.2811,-36.5092,264.33,77,100,5.14,GS,1722886650
81,kruisfontein,-34.0033,24.7314,281.97,58,0,2.8,ZA,1722886651
82,klaksvik,62.2266,-6.589,284.66,87,1,4.27,FO,1722886652
83,burang,30.25,81.1667,283.89,75,100,2.54,CN,1722886653
84,benito juarez,19.385,-99.165,295.05,53,40,2.57,MX,1722886654
85,goondiwindi,-28.55,150.3167,286.12,96,98,2.18,AU,1722886655
86,susuman,62.7833,148.1667,285.99,62,97,2.18,RU,1722886656
87,avarua,-21.2078,-159.775,298.18,78,1,4.12,CK,1722886658
88,nueve de julio,-35.4444,-60.8831,288.13,82,93,0.89,AR,1722886575
89,vadso,70.0744,29.7487,285.64,87,0,5.14,NO,1722886661
90,puerto ayora,-0.7393,-90.3518,298.13,78,56,5.08,EC,1722886662
91,kavaratti,10.5669,72.642,300.38,84,100,5.3,IN,1722886663
92,pindobacu,-10.7417,-40.3608,295.41,70,95,3.18,BR,1722886664
93,gilleleje,56.122,12.3106,290.43,82,54,2.42,DK,1722886665
94,hawaiian paradise park,19.5933,-154.9731,301.33,75,20,2.06,US,1722886667
95,soria,41.6667,-2.6667,300.43,41,34,1.96,ES,1722886668
96,san patricio,28.017,-97.5169,308.24,39,25,3.49,US,1722886669
97,bilibino,68.0546,166.4372,275.77,66,87,1.39,RU,1722886670
98,toliara,-23.35,43.6667,293.84,76,0,2.63,MG,1722886671
99,shihezi,44.3,86.0333,300.97,28,92,2.31,CN,1722886672
100,newman,37.3138,-121.0208,306.34,16,0,0.39,US,1722886414
101,mersing,2.4312,103.8405,297.1,94,20,2.57,MY,1722886675
102,port lincoln,-34.7333,135.8667,282.52,91,99,4.28,AU,1722886676
103,springbok,-29.6643,17.8865,280.48,35,0,2.62,ZA,1722886678
104,badger,64.8,-147.5333,298.29,53,20,4.12,US,1722886679
105,nieuw amsterdam,5.8833,-55.0833,307.24,62,40,3.09,SR,1722886680
106,daru,-9.0763,143.2092,297.4,88,100,6.43,PG,1722886681
107,itoman,26.1247,127.6694,300.16,96,75,5.66,JP,1722886682
108,college,64.8569,-147.8028,298.33,52,20,4.12,US,1722886683
109,laibin,23.7,109.2667,299.52,87,25,1.62,CN,1722886684
110,mogocha,53.7333,119.7667,284.79,95,13,0.36,RU,1722886685
111,rolandia,-23.3097,-51.3692,303.1,32,0,2.98,BR,1722886687
112,guerrero negro,27.9769,-114.0611,301.32,49,100,5.72,MX,1722886688
113,sandnessjoen,66.0217,12.6316,295.44,68,20,4.63,NO,1722886689
114,gadzhiyevo,69.2551,33.3362,282.48,80,2,1.79,RU,1722886690
115,ouesso,1.6136,16.0517,299.12,62,89,1.27,CG,1722886444
116,shingu,33.7333,135.9833,298.35,94,73,1.37,JP,1722886692
117,coari,-4.085,-63.1414,309.86,23,96,1.91,BR,1722886693
118,keflavik,64.0049,-22.5624,286.1,94,75,4.12,IS,1722886694
119,yakeshi,49.2833,120.7333,287.77,81,0,1.99,CN,1722886695
120,bikenibeu village,1.3673,173.1241,302.11,62,98,5.47,KI,1722886697
121,tsiombe,-25.3,45.4833,291.41,91,5,0.9,MG,1722886118
122,kirkwood,38.5834,-90.4068,309.0,49,20,2.57,US,1722886699
123,yucheng,34.9289,116.4653,298.18,97,100,3.13,CN,1722886700
124,mo i rana,66.3128,14.1428,291.11,81,0,0.0,NO,1722886541
125,aasiaat,68.7098,-52.8699,276.78,87,63,2.04,GL,1722886702
126,porto velho,-8.7619,-63.9039,308.18,29,4,4.63,BR,1722886557
127,thompson,55.7435,-97.8558,295.24,35,20,3.09,CA,1722886704
128,margaret river,-33.95,115.0667,289.41,85,100,7.58,AU,1722886705
129,pangani,-5.4333,38.9667,295.53,81,0,2.42,TZ,1722886707
130,fortuna,40.5982,-124.1573,288.7,95,100,2.57,US,1722886708
131,bodo,67.28,14.405,293.17,66,0,2.57,NO,1722886438
132,bowling green,36.9903,-86.4436,306.29,57,75,4.12,US,1722886564
133,el nido,11.1858,119.3956,298.23,92,99,4.14,PH,1722886711
134,laguna,38.421,-121.4238,309.27,36,0,3.09,US,1722886712
135,tampakan,6.4442,124.9264,296.15,97,100,0.14,PH,1722886713
136,utrik,11.2278,169.8474,301.25,81,95,6.83,MH,1722886714
137,iqaluit,63.7506,-68.5145,281.0,81,100,3.6,CA,1722886715
138,lazaro cardenas,17.9583,-102.2,302.98,66,100,3.38,MX,1722886224
139,aioun,16.6614,-9.6149,304.12,56,50,4.88,MR,1722886718
140,kalabo,-14.97,22.6814,293.08,15,0,1.48,ZM,1722886719
141,pimentel,-6.8367,-79.9342,295.31,64,0,8.75,PE,1722886167
142,peitz,51.8584,14.4114,290.77,81,41,1.41,DE,1722886721
143,bubaque,11.2833,-15.8333,299.59,84,100,5.8,GW,1722886722
144,balykshi,47.0667,51.8667,297.15,60,0,2.0,KZ,1722886723
145,djebeniana,35.035,10.9081,302.04,68,0,3.23,TN,1722886724
146,petropavlovsk-kamchatsky,53.0452,158.6483,284.48,100,100,1.0,RU,1722886726
147,armenia,40.0,45.0,289.5,73,6,6.27,AM,1722886728
148,jamestown,42.097,-79.2353,301.92,66,100,4.63,US,1722886548
149,polyarnyy,69.1989,33.4478,283.07,77,3,1.83,RU,1722886730
